score_id,user_id,company_id,date,churn_probability,state,logins_that_day,time_spent_mins
1,1,1,2021-07-17,0.01,Active,2,53.17
2,1,1,2021-07-24,0.06,Active,1,15.91
3,1,1,2021-07-28,0.01,Active,6,152.78
4,1,1,2021-08-02,0.01,Active,4,106.09
5,1,1,2021-08-05,0.01,Active,3,73.31
6,1,1,2021-08-09,0.01,Active,5,134.76
7,1,1,2021-08-14,0.01,Active,5,121.38
8,1,1,2021-08-18,0.06,Active,1,20.8
9,1,1,2021-08-22,0.01,Active,5,129.42
10,1,1,2021-08-29,0.01,Active,5,124.95
11,1,1,2021-09-04,0.01,Active,4,97.06
12,1,1,2021-09-10,0.01,Active,5,131.94
13,1,1,2021-09-15,0.01,Active,3,73.01
14,1,1,2021-09-22,0.01,Active,2,50.09
15,1,1,2021-09-29,0.06,Active,1,34.5
16,1,1,2021-10-04,0.01,Active,3,68.98
17,1,1,2021-10-07,0.01,Active,4,96.66
18,1,1,2021-10-14,0.01,Active,3,83.63
19,1,1,2021-10-21,0.01,Active,6,150.15
20,1,1,2021-10-28,0.01,Active,4,97.37
21,1,1,2021-11-04,0.01,Active,3,74.49
22,1,1,2021-11-11,0.01,Active,4,91.03
23,1,1,2021-11-18,0.01,Active,4,94.84
24,1,1,2021-11-22,0.01,Active,5,123.38
25,1,1,2021-11-29,0.01,Active,6,154.55
26,1,1,2021-12-06,0.01,Active,6,147.54
27,1,1,2021-12-13,0.01,Active,6,153.52
28,1,1,2021-12-18,0.01,Active,4,109.15
29,1,1,2021-12-23,0.01,Active,4,104.1
30,1,1,2021-12-28,0.01,Active,3,78.53
31,1,1,2022-01-02,0.01,Active,3,70.75
32,1,1,2022-01-08,0.01,Active,4,94.04
33,1,1,2022-01-13,0.01,Active,3,79.82
34,1,1,2022-01-20,0.01,Active,2,42.0
35,1,1,2022-01-24,0.01,Active,5,123.14
36,1,1,2022-01-30,0.01,Active,4,95.71
37,1,1,2022-02-06,0.01,Active,7,179.46
38,1,1,2022-02-10,0.01,Active,2,59.94
39,1,1,2022-02-15,0.01,Active,2,51.36
40,1,1,2022-02-20,0.01,Active,7,174.88
41,1,1,2022-02-26,0.01,Active,2,46.61
42,1,1,2022-03-02,0.01,Active,4,101.36
43,1,1,2022-03-08,0.01,Active,6,141.73
